key,name,picture,promotionCode,discountedMoney,averageDwellTime,key:airport
#base
service-001,service1,https://imgur.com/NoV4nGH.png,DSUR-25,EUR 100.00,3.5,airport-01
#name
service-002,L,https://imgur.com/NoV4nGH.png,AAAB-25,EUR 100.00,3.5,airport-01
service-003,Lo,https://imgur.com/NoV4nGH.png,AAAC-25,EUR 100.00,3.5,airport-01
service-004,"Lorem ipsum dolor sit amet, consectetur adipiscin",https://imgur.com/NoV4nGH.png,AAAD-25,EUR 100.00,3.5,airport-01
service-005,"Lorem ipsum dolor sit amet, consectetur adipiscine",https://imgur.com/NoV4nGH.png,AAAE-25,EUR 100.00,3.5,airport-01
service-006,โลเร็ม อิปซัม,https://imgur.com/NoV4nGH.png,AAAF-25,EUR 100.00,3.5,airport-01
service-007,لوريم إيبسوم,https://imgur.com/NoV4nGH.png,AAAG-25,EUR 100.00,3.5,airport-01
service-008,洛伦·伊普森,https://imgur.com/NoV4nGH.png,AAAH-25,EUR 100.00,3.5,airport-01
service-009,<marquee>Hacked</marquee>,https://imgur.com/NoV4nGH.png,AAAI-25,EUR 100.00,3.5,airport-01
service-010,<script>alert(‘Hacked!’);</script>,https://imgur.com/NoV4nGH.png,AAAJ-25,EUR 100.00,3.5,airport-01
service-011,' or 'A' = 'A ,https://imgur.com/NoV4nGH.png,AAAK-25,EUR 100.00,3.5,airport-01
#picture
service-012,service1,https://a.b,AAAL-25,EUR 100.00,3.5,airport-01
service-013,service1,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",AAAM-25,EUR 100.00,3.5,airport-01
service-014,service1,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",AAAN-25,EUR 100.00,3.5,airport-01
service-015,service1,https://www.lorem-ipsum.org,AAAO-25,EUR 100.00,3.5,airport-01
service-016,service1,https://www.lorem-ipsum.org,AAAP-25,EUR 100.00,3.5,airport-01
service-017,service1,http://www.lorem-ipsum.org/dolor/sit.html,AAAQ-25,EUR 100.00,3.5,airport-01
service-018,service1,http://www.lorem-ipsum.org/dolor/sit.html#dolor,AAAR-25,EUR 100.00,3.5,airport-01
service-019,service1,http://example.org?a=1&b=2,AAAS-25,EUR 100.00,3.5,airport-01
service-020,service1,http://example.org?a,AAAT-25,EUR 100.00,3.5,airport-01
service-021,service1,http://example.org?a&b,AAAU-25,EUR 100.00,3.5,airport-01
service-022,service1,http://example.org/,AAAV-25,EUR 100.00,3.5,airport-01
service-023,service1,http://example.org/a,AAAW-25,EUR 100.00,3.5,airport-01
service-024,service1,http://example.org/a/b,AAAX-25,EUR 100.00,3.5,airport-01
service-025,service1,http://example.org/a/b?,AAAY-25,EUR 100.00,3.5,airport-01
service-026,service1,http://example.org/a/b?a&b,AAAZ-25,EUR 100.00,3.5,airport-01
#promotionCode
service-027,service1,https://imgur.com/NoV4nGH.png,AAAA-25,EUR 100.00,3.5,airport-01
service-028,service1,https://imgur.com/NoV4nGH.png,ZZZZ-25,EUR 100.00,3.5,airport-01
service-029,service1,https://imgur.com/NoV4nGH.png,AZAZ-25,EUR 100.00,3.5,airport-01
service-030,service1,https://imgur.com/NoV4nGH.png,null,EUR 100.00,3.5,airport-01
#discountedMoney
service-031,service1,https://imgur.com/NoV4nGH.png,BBBB-25,EUR 0.00,3.5,airport-01
service-032,service1,https://imgur.com/NoV4nGH.png,BBBC-25,EUR 0.01,3.5,airport-01
service-033,service1,https://imgur.com/NoV4nGH.png,BBBD-25,EUR 999999.99,3.5,airport-01
service-034,service1,https://imgur.com/NoV4nGH.png,BBBE-25,EUR 1000000.00,3.5,airport-01
#averageDwellTime
service-035,service1,https://imgur.com/NoV4nGH.png,BBBF-25,EUR 1000000.00,0.00,airport-01
service-036,service1,https://imgur.com/NoV4nGH.png,BBBG-25,EUR 1000000.00,0.01,airport-01
service-037,service1,https://imgur.com/NoV4nGH.png,BBBH-25,EUR 1000000.00,99.99,airport-01
service-038,service1,https://imgur.com/NoV4nGH.png,BBBI-25,EUR 1000000.00,100,airport-01
#key
service-039,service1,https://imgur.com/NoV4nGH.png,BBBJ-25,EUR 100.00,3.5,airport-02
